Question #,Scrambled sentence,Answer
1,usually / wakes / kevin / at / 7:00 / up,Kevin usually wakes up at 7:00.
2,likes / science / and / he / english,He likes science and English.
3,difficult / sometimes / math / for / him / is,Math is sometimes difficult for him.
4,monday / forgot / lunch / last / kevin / his,Last Monday Kevin forgot his lunch.
5,money / did / have / he / not / any,He did not have any money.
6,lunch / shared / mina / her,Mina shared her lunch.
7,school / joined / after / environmental / club / the / kevin,After school Kevin joined the environmental club.
8,every / club / thursday / tuesday / the / and / meets,The club meets every Tuesday and Thursday.
9,near / trash / river / collect / the / they,They collect trash near the river.
10,planted / week / twenty / last / the / students / trees,Last week the students planted twenty trees.
11,hospital / works / father / at / a / kevin's,Kevin's father works at a hospital.
12,work / drives / every / he / to / day,He drives to work every day.
13,visited / grandparents / saturday / on / kevin / his,On Saturday Kevin visited his grandparents.
14,village / live / they / near / mountains / a / small / in / the,They live in a small village near the mountains.
15,homework / before / bed / going / his / finished / kevin / to,Before going to bed Kevin finished his homework.
