Question #,Scrambled sentence,Answer
1,every / smartphones / use / day / people / many,Many people use smartphones every day.
2,quickly / people / communicate / help / smartphones,Smartphones help people communicate quickly.
3,internet / smartphones / many / the / connect / to,Many smartphones connect to the internet.
4,seconds / send / messages / can / in / people,People can send messages in seconds.
5,calls / smartphones / video / allow / also,Smartphones also allow video calls.
6,learning / students / many / for / smartphones / use,Many students use smartphones for learning.
7,information / quickly / can / very / find / people,People can find information very quickly.
8,technology / smartphones / powerful / computer / contain,Smartphones contain powerful computer technology.
9,day / apps / people / every / help / many,Many apps help people every day.
10,life / modern / changing / smartphones / continue,Smartphones continue changing modern life.
11,people / smartphones / own / billions / today / of,Today billions of people own smartphones.
12,devices / useful / among / smartphones / most / are / the,Smartphones are among the most useful devices.
13,shape / moon / changes / people / think / many / the / its,Many people think the Moon changes its shape.
14,same / shape / moon / has / the / always / the,The Moon always has the same shape.
15,different / moon / sunlight / because / reaches / looks / it / the,The Moon looks different because sunlight reaches it.
16,month / moon / different / people / parts / the / during / see / the / of,People see different parts of the Moon during the month.
17,curve / moon / a / like / thin / looks / the / sometimes,Sometimes the Moon looks like a thin curve.
18,completely / round / other / times / it / at / looks,At other times it looks completely round.
19,whole / side / facing / earth / lights / sunlight / when / moon / the / full / a / happens,A full moon happens when sunlight lights the whole side facing Earth.
20,away / bright / side / moon / new / the / faces / happens / when / a,A new moon happens when the bright side faces away.
21,phases / moon / are / called / changes / these,These changes are called moon phases.
22,years / scientists / moon / many / studied / have / the / for,Scientists have studied the Moon for many years.
23,past / moon / traveled / astronauts / even / the / the / to / in,Astronauts even traveled to the Moon in the past.
24,moon / today / people / about / things / continue / learning / new / the,Today people continue learning new things about the Moon.
25,blue / enjoy / people / many / sky / the / looking / at,Many people enjoy looking at the blue sky.
26,blue / time / sky / really / the / all / not / is / the,However the sky is not really blue all the time.
27,moves / sunlight / depends / color / air / through / how / the / on / the,The color depends on how sunlight moves through the air.
28,colors / contains / different / many / sunlight,Sunlight contains many different colors.
29,air / atmosphere / enters / earth's / particles / sunlight / tiny / meets / in / it / when / the,When sunlight enters Earth's atmosphere it meets tiny particles in the air.
30,colors / blue / other / more / spreads / light / than / easily,Blue light spreads more easily than other colors.
31,blue / sky / people / day / usually / during / this / the / why / see / is / a,This is why people usually see a blue sky during the day.
32,sunset / color / sky / sunrise / and / changes / often / the / at,The sky often changes color at sunrise and sunset.
33,atmosphere / times / through / travels / sunlight / these / more / the / at / of,At these times sunlight travels through more of the atmosphere.
34,orange / easier / colors / red / become / see / and / to,Red and orange colors become easier to see.
35,years / scientists / studied / many / light / have / for,Scientists have studied light for many years.
36,blue / know / much / sky / looks / more / about / today / why / we / the,Today we know much more about why the sky looks blue.
37,autumn / colorful / leaves / many / enjoy / people / in,Many people enjoy colorful leaves in autumn.
38,green / leaves / summer / are / most / during,During summer most leaves are green.
39,chlorophyll / green / comes / substance / color / called / from / the / a,The green color comes from a substance called chlorophyll.
40,sunlight / chlorophyll / use / plants / food / from / make / to,Plants use chlorophyll to make food from sunlight.
41,food / plant / produce / leaves / every / the / day / for,Leaves produce food for the plant every day.
42,shorter / autumn / become / days / the / during,During autumn the days become shorter.
43,before / less / receive / plants / sunlight / than,Plants receive less sunlight than before.
44,less / chlorophyll / plants / result / as / a / produce,As a result plants produce less chlorophyll.
45,disappear / green / color / begins / the / slowly / to,The green color slowly begins to disappear.
46,see / yellow / orange / become / colors / easier / and / to,Yellow and orange colors become easier to see.
47,leaf / trees / produce / colors / different / different,Different trees produce different leaf colors.
48,color / world / people / leaves / around / enjoy / change / watching / today,Today people around the world enjoy watching leaves change color.
